(All),id_produit,catégorie,prix,weight_g,length_cm,height_cm,width_cm,(All),mois,trimestre,annee,moyenne chiffre d'affaire,chiffre d'affaire,nombre de ventes,
,,,,,,,,,,,2019,3 180,63 600,20,
,,,,,,,,,5,2,2017,"3 424,615",44 520,13,
,,,,,,,,,,,2018,5 088,5 088,1,
,,,,,,,,,,,2019,3 816,19 080,5,
,,,,,,,,,6,2,2017,"2 305,5",18 444,8,
,,,,,,,,,,,2018,3 180,19 080,6,
,,,,,,,,,,,2019,3 657,43 884,12,
,,,,,,,,,,3,2017,3 180,9 540,3,
,,,,,,,,,,,2018,3 180,12 720,4,
,,,,,,,,,,,2019,,,,
,,,,,,,,,7,3,2017,3 021,24 168,8,
,,,,,,,,,,,2018,"2 271,429",15 900,7,
,,,,,,,,,,,2019,3 551,42 612,12,
,,,,,,,,,8,3,2017,"3 620,308",47 064,13,
,,,,,,,,,,,2018,"3 646,4",54 696,15,
,,,,,,,,,,,2019,"3 259,5",26 076,8,
,,,,,,,,,9,3,2017,"2 305,5",18 444,8,
,,,,,,,,,,,2018,"2 925,6",14 628,5,
,,,,,,,,,,,2019,3 180,19 080,6,
,,,,,,,,,,4,2017,2 226,8 904,4,
,,,,,,,,,,,2018,3 816,3 816,1,
,,,,,,,,,,,2019,2 862,5 724,2,
,,,,,,,,,10,4,2017,2 915,34 980,12,
,,,,,,,,,,,2018,"2 601,818",28 620,11,
,,,,,,,,,,,2019,"2 353,2",23 532,10,
,,,,,,,,,11,4,2017,"2 416,8",24 168,10,
,,,,,,,,,,,2018,"3 321,333",29 892,9,
,,,,,,,,,,,2019,"3 131,077",40 704,13,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,2 544,2 544,1,
,,,,,,,,,,4,2017,3 816,22 896,6,
,,,,,,,,,,,2018,"3 434,4",34 344,10,
,,,,,,,,,,,2019,,,,
,14,health_beauty,1987,75,21,7,13,All Dates,1,1,2018,"9 170,769",119 220,13,
,,,,,,,,,,,2019,"10 332,4",103 324,10,
,,,,,,,,,2,1,2018,"11 094,083",133 129,12,
,,,,,,,,,,,2019,"12 839,077",166 908,13,
,,,,,,,,,3,1,2018,"9 338,9",93 389,10,




,,,,,,,,,,,2019,"10 657,546",117 233,11,
,,,,,,,,,,2,2018,"8 941,5",35 766,4,
,,,,,,,,,,,2019,3 974,3 974,1,
,,,,,,,,,4,2,2018,"9 393,091",103 324,11,
,,,,,,,,,,,2019,"7 727,222",69 545,9,
,,,,,,,,,5,2,2017,"8 941,5",53 649,6,
,,,,,,,,,,,2018,"11 673,625",93 389,8,
,,,,,,,,,,,2019,"7 699,625",61 597,8,
,,,,,,,,,6,2,2017,"11 070,429",77 493,7,
,,,,,,,,,,,2018,"13 057,429",91 402,7,
,,,,,,,,,,,2019,"12 644,546",139 090,11,
,,,,,,,,,,3,2017,1 987,1 987,1,
,,,,,,,,,,,2018,5 961,17 883,3,
,,,,,,,,,,,2019,3 974,7 948,2,
,,,,,,,,,7,3,2017,"7 406,091",81 467,11,
,,,,,,,,,,,2018,"12 418,75",99 350,8,
,,,,,,,,,,,2019,"9 651,143",135 116,14,
,,,,,,,,,8,3,2017,"9 686,625",77 493,8,
,,,,,,,,,,,2018,"9 083,429",63 584,7,
,,,,,,,,,,,2019,11 922,47 688,4,
,,,,,,,,,9,3,2017,"10 218,857",71 532,7,
,,,,,,,,,,,2018,"8 444,75",33 779,4,
,,,,,,,,,,,2019,"8 128,636",89 415,11,
,,,,,,,,,,4,2017,"8 231,857",57 623,7,
,,,,,,,,,,,2018,9 935,49 675,5,
,,,,,,,,,,,2019,11 922,23 844,2,
,,,,,,,,,10,4,2017,"10 753,176",182 804,17,
,,,,,,,,,,,2018,"7 285,667",65 571,9,
,,,,,,,,,,,2019,7 948,87 428,11,
,,,,,,,,,11,4,2017,9 935,99 350,10,
,,,,,,,,,,,2018,"8 693,125",69 545,8,
,,,,,,,,,,,2019,"11 741,364",129 155,11,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,11 922,23 844,2,
,,,,,,,,,,4,2017,"9 651,143",67 558,7,
,,,,,,,,,,,2018,"8 146,7",81 467,10,
,,,,,,,,,,,2019,11 922,11 922,1,
,15,luggage_accessories,573,3600,35,25,50,All Dates,1,1,2018,2 865,31 515,11,
,,,,,,,,,,,2019,"2 936,625",23 493,8,
,,,,,,,,,2,1,2018,"2 537,571",35 526,14,
,,,,,,,,,,,2019,"2 820,923",36 672,13,
,,,,,,,,,3,1,2018,573,573,1,
,,,,,,,,,,,2019,"2 979,6",14 898,5,
,,,,,,,,,,2,2018,1 910,5 730,3,
,,,,,,,,,,,2019,"1 289,25",5 157,4,
,,,,,,,,,4,2,2018,"2 604,546",28 650,11,
,,,,,,,,,,,2019,"4 256,571",29 796,7,
,,,,,,,,,5,2,2017,"2 928,667",26 358,9,
,,,,,,,,,,,2018,"3 867,75",15 471,4,
,,,,,,,,,,,2019,"3 151,5",31 515,10,
,,,,,,,,,6,2,2017,2 483,22 347,9,
,,,,,,,,,,,2018,"2 355,667",21 201,9,
,,,,,,,,,,,2019,"3 356,143",23 493,7,
,,,,,,,,,,3,2017,573,573,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,4 202,12 606,3,
,,,,,,,,,7,3,2017,"2 688,692",34 953,13,
,,,,,,,,,,,2018,"3 192,429",22 347,7,
,,,,,,,,,,,2019,"3 079,875",24 639,8,
,,,,,,,,,8,3,2017,"2 928,667",26 358,9,
,,,,,,,,,,,2018,"2 406,6",12 033,5,
,,,,,,,,,,,2019,"4 154,25",33 234,8,
,,,,,,,,,9,3,2017,"2 635,8",13 179,5,
,,,,,,,,,,,2018,2 674,16 044,6,
,,,,,,,,,,,2019,"2 463,9",24 639,10,
,,,,,,,,,,4,2017,1 719,3 438,2,
,,,,,,,,,,,2018,2 674,8 022,3,
,,,,,,,,,,,2019,2 292,2 292,1,
,,,,,,,,,10,4,2017,"3 724,5",22 347,6,
,,,,,,,,,,,2018,"2 708,727",29 796,11,
,,,,,,,,,,,2019,"2 936,625",23 493,8,
,,,,,,,,,11,4,2017,"1 846,333",16 617,9,
,,,,,,,,,,,2018,"3 266,1",32 661,10,
,,,,,,,,,,,2019,"3 402,188",54 435,16,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,"4 297,5",8 595,2,
,,,,,,,,,,4,2017,4 393,26 358,6,
,,,,,,,,,,,2018,"2 635,8",39 537,15,
,,,,,,,,,,,2019,2 865,14 325,5,
,16,garden_tools,1163,2150,70,8,34,All Dates,1,1,2018,"6 172,846",80 247,13,
,,,,,,,,,,,2019,"7 268,75",29 075,4,
,,,,,,,,,2,1,2018,"6 541,875",52 335,8,
,,,,,,,,,,,2019,"7 210,6",36 053,5,
,,,,,,,,,3,1,2018,"3 101,333",18 608,6,
,,,,,,,,,,,2019,"4 264,333",25 586,6,
,,,,,,,,,,2,2018,"7 559,5",30 238,4,
,,,,,,,,,,,2019,3 489,6 978,2,
,,,,,,,,,4,2,2018,"7 123,375",56 987,8,
,,,,,,,,,,,2019,5 815,46 520,8,
,,,,,,,,,5,2,2017,"5 180,636",56 987,11,
,,,,,,,,,,,2018,"6 493,417",77 921,12,
,,,,,,,,,,,2019,"6 590,333",59 313,9,




,,,,,,,,,6,2,2017,"5 168,889",46 520,9,
,,,,,,,,,,,2018,"6 047,6",30 238,5,
,,,,,,,,,,,2019,"7 400,909",81 410,11,
,,,,,,,,,,3,2017,6 978,27 912,4,
,,,,,,,,,,,2018,10 467,10 467,1,
,,,,,,,,,,,2019,"6 396,5",12 793,2,
,,,,,,,,,7,3,2017,"5 960,375",47 683,8,
,,,,,,,,,,,2018,"7 559,5",60 476,8,
,,,,,,,,,,,2019,"5 427,333",32 564,6,
,,,,,,,,,8,3,2017,"5 524,25",44 194,8,
,,,,,,,,,,,2018,"6 461,111",58 150,9,
,,,,,,,,,,,2019,"4 186,8",20 934,5,
,,,,,,,,,9,3,2017,4 652,23 260,5,
,,,,,,,,,,,2018,"6 493,417",77 921,12,
,,,,,,,,,,,2019,6 978,27 912,4,
,,,,,,,,,,4,2017,"7 753,333",23 260,3,
,,,,,,,,,,,2018,"7 753,333",23 260,3,
,,,,,,,,,,,2019,"6 147,286",43 031,7,
,,,,,,,,,10,4,2017,"7 365,667",44 194,6,
,,,,,,,,,,,2018,"5 685,778",51 172,9,
,,,,,,,,,,,2019,"4 393,556",39 542,9,
,,,,,,,,,11,4,2017,5 815,69 780,12,
,,,,,,,,,,,2018,"7 268,75",58 150,8,
,,,,,,,,,,,2019,"6 125,133",91 877,15,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"5 931,3",59 313,10,
,,,,,,,,,,,2018,"4 361,25",52 335,12,
,,,,,,,,,,,2019,,,,
,17,office_furniture,476,8950,52,51,17,All Dates,1,1,2018,"2 485,778",22 372,9,
,,,,,,,,,,,2019,"2 485,778",22 372,9,
,,,,,,,,,2,1,2018,1 020,7 140,7,
,,,,,,,,,,,2019,2 856,25 704,9,
,,,,,,,,,3,1,2018,"2 432,889",21 896,9,
,,,,,,,,,,,2019,"2 102,333",25 228,12,
,,,,,,,,,,2,2018,"3 014,667",9 044,3,
,,,,,,,,,,,2019,"1 745,333",5 236,3,
,,,,,,,,,4,2,2018,"2 306,769",29 988,13,
,,,,,,,,,,,2019,"2 115,556",19 040,9,
,,,,,,,,,5,2,2017,"1 947,273",21 420,11,
,,,,,,,,,,,2018,"2 221,333",6 664,3,
,,,,,,,,,,,2019,"2 697,333",24 276,9,
,,,,,,,,,6,2,2017,"2 320,5",18 564,8,
,,,,,,,,,,,2018,2 856,14 280,5,
,,,,,,,,,,,2019,"3 252,667",19 516,6,
,,,,,,,,,,3,2017,2 142,8 568,4,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,952,1 904,2,
,,,,,,,,,7,3,2017,1 904,13 328,7,
,,,,,,,,,,,2018,"2 340,333",28 084,12,
,,,,,,,,,,,2019,"2 206,909",24 276,11,
,,,,,,,,,8,3,2017,"2 665,6",13 328,5,
,,,,,,,,,,,2018,"2 009,778",18 088,9,
,,,,,,,,,,,2019,"2 247,778",40 460,18,
,,,,,,,,,9,3,2017,2 499,9 996,4,
,,,,,,,,,,,2018,2 380,26 180,11,
,,,,,,,,,,,2019,2 448,34 272,14,
,,,,,,,,,,4,2017,2 380,2 380,1,
,,,,,,,,,,,2018,"1 745,333",5 236,3,
,,,,,,,,,,,2019,1 904,5 712,3,
,,,,,,,,,10,4,2017,1 836,12 852,7,
,,,,,,,,,,,2018,2 261,18 088,8,
,,,,,,,,,,,2019,"2 538,667",22 848,9,
,,,,,,,,,11,4,2017,"2 189,6",10 948,5,
,,,,,,,,,,,2018,1 904,15 232,8,
,,,,,,,,,,,2019,"2 427,6",24 276,10,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"2 221,333",19 992,9,
,,,,,,,,,,,2018,"2 274,222",20 468,9,
,,,,,,,,,,,2019,952,952,1,
,18,auto,1062,6000,87,3,42,All Dates,1,1,2018,"4 867,5",58 410,12,
,,,,,,,,,,,2019,"6 068,571",84 960,14,
,,,,,,,,,2,1,2018,"5 116,909",56 286,11,
,,,,,,,,,,,2019,6 372,76 464,12,
,,,,,,,,,3,1,2018,"6 159,6",30 798,5,
,,,,,,,,,,,2019,"6 220,286",43 542,7,
,,,,,,,,,,2,2018,3 717,7 434,2,
,,,,,,,,,,,2019,6 372,6 372,1,
,,,,,,,,,4,2,2018,"4 634,182",50 976,11,
,,,,,,,,,,,2019,"5 097,6",50 976,10,
,,,,,,,,,5,2,2017,"3 823,2",19 116,5,
,,,,,,,,,,,2018,4 956,29 736,6,
,,,,,,,,,,,2019,"5 947,2",59 472,10,
,,,,,,,,,6,2,2017,5 841,23 364,4,
,,,,,,,,,,,2018,"5 522,4",27 612,5,
,,,,,,,,,,,2019,4 602,41 418,9,
,,,,,,,,,,3,2017,3 186,3 186,1,
,,,,,,,,,,,2018,4 956,29 736,6,
,,,,,,,,,,,2019,3 717,14 868,4,
,,,,,,,,,7,3,2017,6 018,54 162,9,
,,,,,,,,,,,2018,5 310,47 790,9,




,,,,,,,,,,,2019,4 248,25 488,6,
,,,,,,,,,8,3,2017,5 310,63 720,12,
,,,,,,,,,,,2018,"7 168,5",57 348,8,
,,,,,,,,,,,2019,"5 442,75",43 542,8,
,,,,,,,,,9,3,2017,5 900,53 100,9,
,,,,,,,,,,,2018,5 192,46 728,9,
,,,,,,,,,,,2019,3 186,15 930,5,
,,,,,,,,,,4,2017,7 434,14 868,2,
,,,,,,,,,,,2018,4 779,19 116,4,
,,,,,,,,,,,2019,"5 575,5",22 302,4,
,,,,,,,,,10,4,2017,"4 399,714",30 798,7,
,,,,,,,,,,,2018,"6 617,077",86 022,13,
,,,,,,,,,,,2019,"4 551,429",63 720,14,
,,,,,,,,,11,4,2017,"4 634,182",50 976,11,
,,,,,,,,,,,2018,3 186,35 046,11,
,,,,,,,,,,,2019,"5 451,6",81 774,15,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,5 310,10 620,2,
,,,,,,,,,,4,2017,"5 116,909",56 286,11,
,,,,,,,,,,,2018,"5 385,857",75 402,14,
,,,,,,,,,,,2019,7 434,7 434,1,
,19,electronics,806,263,18,12,16,All Dates,1,1,2018,"2 720,25",21 762,8,
,,,,,,,,,,,2019,"4 533,75",36 270,8,
,,,,,,,,,2,1,2018,"4 916,6",49 166,10,
,,,,,,,,,,,2019,3 224,35 464,11,
,,,,,,,,,3,1,2018,"3 707,6",18 538,5,
,,,,,,,,,,,2019,"3 569,429",24 986,7,
,,,,,,,,,,2,2018,,,,
,,,,,,,,,,,2019,4 030,16 120,4,
,,,,,,,,,4,2,2018,"4 110,6",41 106,10,
,,,,,,,,,,,2019,"4 365,833",52 390,12,
,,,,,,,,,5,2,2017,"4 513,6",45 136,10,
,,,,,,,,,,,2018,"3 949,4",39 494,10,
,,,,,,,,,,,2019,"3 761,333",45 136,12,
,,,,,,,,,6,2,2017,"4 634,5",37 076,8,
,,,,,,,,,,,2018,"3 062,8",15 314,5,
,,,,,,,,,,,2019,3 968,51 584,13,
,,,,,,,,,,3,2017,7 254,7 254,1,
,,,,,,,,,,,2018,"4 231,5",16 926,4,
,,,,,,,,,,,2019,3 627,7 254,2,
,,,,,,,,,7,3,2017,"3 546,4",17 732,5,
,,,,,,,,,,,2018,"5 129,091",56 420,11,
,,,,,,,,,,,2019,3 224,29 016,9,
,,,,,,,,,8,3,2017,"2 921,75",23 374,8,
,,,,,,,,,,,2018,"3 425,5",54 808,16,
,,,,,,,,,,,2019,4 526,58 838,13,
,,,,,,,,,9,3,2017,5 239,31 434,6,
,,,,,,,,,,,2018,"3 582,222",32 240,9,
,,,,,,,,,,,2019,"3 929,25",31 434,8,
,,,,,,,,,,4,2017,4 836,4 836,1,
,,,,,,,,,,,2018,5 239,20 956,4,
,,,,,,,,,,,2019,"3 492,667",10 478,3,
,,,,,,,,,10,4,2017,"4 605,714",32 240,7,
,,,,,,,,,,,2018,3 968,51 584,13,
,,,,,,,,,,,2019,4 712,61 256,13,
,,,,,,,,,11,4,2017,"4 298,667",25 792,6,
,,,,,,,,,,,2018,4 216,54 808,13,
,,,,,,,,,,,2019,"3 370,546",37 076,11,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"5 066,286",35 464,7,
,,,,,,,,,,,2018,"4 231,5",50 778,12,
,,,,,,,,,,,2019,"2 686,667",8 060,3,
,20,fashion_shoes,402,2000,32,12,37,All Dates,1,1,2018,"1 726,235",29 346,17,
,,,,,,,,,,,2019,2 010,8 040,4,
,,,,,,,,,2,1,2018,"1 356,75",10 854,8,
,,,,,,,,,,,2019,"1 435,714",10 050,7,
,,,,,,,,,3,1,2018,"2 182,286",15 276,7,
,,,,,,,,,,,2019,"2 160,75",17 286,8,
,,,,,,,,,,2,2018,2 010,6 030,3,
,,,,,,,,,,,2019,3 015,6 030,2,
,,,,,,,,,4,2,2018,"2 229,273",24 522,11,
,,,,,,,,,,,2019,"1 842,5",22 110,12,
,,,,,,,,,5,2,2017,"1 920,667",17 286,9,
,,,,,,,,,,,2018,"2 085,375",33 366,16,
,,,,,,,,,,,2019,"1 295,333",11 658,9,
,,,,,,,,,6,2,2017,"2 928,857",20 502,7,
,,,,,,,,,,,2018,"1 979,077",25 728,13,
,,,,,,,,,,,2019,2 010,14 070,7,
,,,,,,,,,,3,2017,"1 306,5",5 226,4,
,,,,,,,,,,,2018,2 814,5 628,2,
,,,,,,,,,,,2019,"1 665,429",11 658,7,
,,,,,,,,,7,3,2017,"2 060,25",16 482,8,
,,,,,,,,,,,2018,1 742,15 678,9,
,,,,,,,,,,,2019,"1 900,364",20 904,11,
,,,,,,,,,8,3,2017,"2 182,286",15 276,7,
,,,,,,,,,,,2018,2 412,21 708,9,
,,,,,,,,,,,2019,2 010,24 120,12,
,,,,,,,,,9,3,2017,2 412,26 532,11,
,,,,,,,,,,,2018,"1 286,4",6 432,5,
,,,,,,,,,,,2019,1 876,11 256,6,
,,,,,,,,,,4,2017,804,804,1,




,,,,,,,,,,,2018,"2 311,5",9 246,4,
,,,,,,,,,,,2019,"1 849,2",9 246,5,
,,,,,,,,,10,4,2017,"1 889,4",18 894,10,
,,,,,,,,,,,2018,2 211,22 110,10,
,,,,,,,,,,,2019,"2 067,429",14 472,7,
,,,,,,,,,11,4,2017,"2 090,4",20 904,10,
,,,,,,,,,,,2018,"1 979,077",25 728,13,
,,,,,,,,,,,2019,2 010,18 090,9,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,2 412,7 236,3,
,,,,,,,,,,4,2017,2 412,16 884,7,
,,,,,,,,,,,2018,"2 160,75",17 286,8,
,,,,,,,,,,,2019,3 618,3 618,1,
,21,telephony,427,100,19,3,11,All Dates,1,1,2018,"2 391,2",11 956,5,
,,,,,,,,,,,2019,"2 099,417",25 193,12,
,,,,,,,,,2,1,2018,"2 206,167",26 474,12,
,,,,,,,,,,,2019,"2 312,917",27 755,12,
,,,,,,,,,3,1,2018,2 562,28 182,11,
,,,,,,,,,,,2019,"2 455,25",29 463,12,
,,,,,,,,,,2,2018,1 281,1 281,1,
,,,,,,,,,,,2019,854,1 708,2,
,,,,,,,,,4,2,2018,2 562,23 058,9,
,,,,,,,,,,,2019,"1 814,75",14 518,8,
,,,,,,,,,5,2,2017,"2 529,154",32 879,13,
,,,,,,,,,,,2018,"1 897,778",17 080,9,
,,,,,,,,,,,2019,"1 992,667",23 912,12,
,,,,,,,,,6,2,2017,2 074,14 518,7,
,,,,,,,,,,,2018,"1 622,6",8 113,5,
,,,,,,,,,,,2019,"2 081,625",16 653,8,
,,,,,,,,,,3,2017,"2 775,5",5 551,2,
,,,,,,,,,,,2018,"1 494,5",2 989,2,
,,,,,,,,,,,2019,854,854,1,
,,,,,,,,,7,3,2017,"1 860,5",26 047,14,
,,,,,,,,,,,2018,"2 519,3",25 193,10,
,,,,,,,,,,,2019,"1 660,556",14 945,9,
,,,,,,,,,8,3,2017,"1 921,5",15 372,8,
,,,,,,,,,,,2018,"1 654,625",13 237,8,
,,,,,,,,,,,2019,2 013,14 091,7,
,,,,,,,,,9,3,2017,"2 799,222",25 193,9,
,,,,,,,,,,,2018,"1 779,167",10 675,6,
,,,,,,,,,,,2019,"1 868,125",14 945,8,
,,,,,,,,,,4,2017,2 379,16 653,7,
,,,,,,,,,,,2018,"1 601,25",6 405,4,
,,,,,,,,,,,2019,"2 668,75",10 675,4,
,,,,,,,,,10,4,2017,"1 868,125",14 945,8,
,,,,,,,,,,,2018,"1 850,333",16 653,9,
,,,,,,,,,,,2019,"1 897,778",17 080,9,
,,,,,,,,,11,4,2017,"1 872,231",24 339,13,
,,,,,,,,,,,2018,"2 445,546",26 901,11,
,,,,,,,,,,,2019,"1 755,444",15 799,9,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,2 867,20 069,7,
,,,,,,,,,,,2018,"1 195,6",5 978,5,
,,,,,,,,,,,2019,3 843,3 843,1,
,22,stationery,488,1400,38,40,39,All Dates,1,1,2018,"2 521,333",30 256,12,
,,,,,,,,,,,2019,"2 129,454",23 424,11,
,,,,,,,,,2,1,2018,"2 509,714",17 568,7,
,,,,,,,,,,,2019,"2 395,636",26 352,11,
,,,,,,,,,3,1,2018,"2 879,2",28 792,10,
,,,,,,,,,,,2019,"2 300,571",32 208,14,
,,,,,,,,,,2,2018,1 952,9 760,5,
,,,,,,,,,,,2019,"3 276,571",22 936,7,
,,,,,,,,,4,2,2018,"2 839,273",31 232,11,
,,,,,,,,,,,2019,"2 277,333",27 328,12,
,,,,,,,,,5,2,2017,2 989,23 912,8,
,,,,,,,,,,,2018,"2 173,818",23 912,11,
,,,,,,,,,,,2019,"2 586,4",25 864,10,
,,,,,,,,,6,2,2017,"2 114,667",6 344,3,
,,,,,,,,,,,2018,"2 060,444",18 544,9,
,,,,,,,,,,,2019,"3 123,2",15 616,5,
,,,,,,,,,,3,2017,1 464,1 464,1,
,,,,,,,,,,,2018,"2 765,333",8 296,3,
,,,,,,,,,,,2019,1 220,4 880,4,
,,,,,,,,,7,3,2017,"2 521,333",30 256,12,
,,,,,,,,,,,2018,2 318,18 544,8,
,,,,,,,,,,,2019,"2 033,333",24 400,12,
,,,,,,,,,8,3,2017,"2 472,533",37 088,15,
,,,,,,,,,,,2018,"2 033,333",24 400,12,
,,,,,,,,,,,2019,"2 223,111",20 008,9,
,,,,,,,,,9,3,2017,"2 765,333",24 888,9,
,,,,,,,,,,,2018,"2 656,889",23 912,9,
,,,,,,,,,,,2019,2 440,21 960,9,
,,,,,,,,,,4,2017,976,976,1,
,,,,,,,,,,,2018,2 440,4 880,2,
,,,,,,,,,,,2019,"2 765,333",8 296,3,
,,,,,,,,,10,4,2017,"2 552,615",33 184,13,
,,,,,,,,,,,2018,"2 038,118",34 648,17,
,,,,,,,,,,,2019,"1 903,2",19 032,10,
,,,,,,,,,11,4,2017,2 928,32 208,11,
,,,,,,,,,,,2018,"2 147,2",21 472,10,
,,,,,,,,,,,2019,"2 794,909",30 744,11,




,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"2 230,857",15 616,7,
,,,,,,,,,,,2018,"2 399,333",28 792,12,
,,,,,,,,,,,2019,1 464,1 464,1,
,23,fashion_bags_accessories,554,100,16,5,11,All Dates,1,1,2018,"3 508,667",31 578,9,
,,,,,,,,,,,2019,"2 343,846",30 470,13,
,,,,,,,,,2,1,2018,2 493,19 944,8,
,,,,,,,,,,,2019,"2 423,75",19 390,8,
,,,,,,,,,3,1,2018,"2 031,333",6 094,3,
,,,,,,,,,,,2019,"2 382,2",23 822,10,
,,,,,,,,,,2,2018,3 047,6 094,2,
,,,,,,,,,,,2019,"2 991,6",14 958,5,
,,,,,,,,,4,2,2018,3 601,36 010,10,
,,,,,,,,,,,2019,2 493,14 958,6,
,,,,,,,,,5,2,2017,"2 708,444",24 376,9,
,,,,,,,,,,,2018,2 493,14 958,6,
,,,,,,,,,,,2019,"2 446,833",29 362,12,
,,,,,,,,,6,2,2017,"2 308,333",13 850,6,
,,,,,,,,,,,2018,2 770,11 080,4,
,,,,,,,,,,,2019,"3 139,333",18 836,6,
,,,,,,,,,,3,2017,3 324,3 324,1,
,,,,,,,,,,,2018,2 216,2 216,1,
,,,,,,,,,,,2019,,,,
,,,,,,,,,7,3,2017,"3 281,385",42 658,13,
,,,,,,,,,,,2018,"1 846,667",22 160,12,
,,,,,,,,,,,2019,"3 424,727",37 672,11,
,,,,,,,,,8,3,2017,2 216,11 080,5,
,,,,,,,,,,,2018,"2 893,111",26 038,9,
,,,,,,,,,,,2019,"3 139,333",28 254,9,
,,,,,,,,,9,3,2017,"2 105,2",21 052,10,
,,,,,,,,,,,2018,"2 031,333",12 188,6,
,,,,,,,,,,,2019,"1 015,667",6 094,6,
,,,,,,,,,,4,2017,"4 062,667",12 188,3,
,,,,,,,,,,,2018,"2 354,5",9 418,4,
,,,,,,,,,,,2019,1 939,3 878,2,
,,,,,,,,,10,4,2017,"3 122,546",34 348,11,
,,,,,,,,,,,2018,"3 077,778",27 700,9,
,,,,,,,,,,,2019,"2 719,636",29 916,11,
,,,,,,,,,11,4,2017,"2 585,333",23 268,9,
,,,,,,,,,,,2018,"2 316,727",25 484,11,
,,,,,,,,,,,2019,"3 831,833",45 982,12,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,3 047,12 188,4,
,,,,,,,,,,,2018,"3 116,25",24 930,8,
,,,,,,,,,,,2019,2 493,4 986,2,
,24,computers,1067,12000,27,50,53,All Dates,1,1,2018,"4 860,778",43 747,9,
,,,,,,,,,,,2019,4 947,54 417,11,
,,,,,,,,,2,1,2018,"3 414,4",17 072,5,
,,,,,,,,,,,2019,"4 588,1",45 881,10,
,,,,,,,,,3,1,2018,"5 121,6",51 216,10,
,,,,,,,,,,,2019,"4 860,778",43 747,9,
,,,,,,,,,,2,2018,2 134,2 134,1,
,,,,,,,,,,,2019,6 402,19 206,3,
,,,,,,,,,4,2,2018,"6 097,143",42 680,7,
,,,,,,,,,,,2019,"5 030,143",70 422,14,
,,,,,,,,,5,2,2017,"5 663,308",73 623,13,
,,,,,,,,,,,2018,"5 957,417",71 489,12,
,,,,,,,,,,,2019,5 335,42 680,8,
,,,,,,,,,6,2,2017,"6 097,143",42 680,7,
,,,,,,,,,,,2018,"4 386,556",39 479,9,
,,,,,,,,,,,2019,9 603,9 603,1,
,,,,,,,,,,3,2017,6 402,6 402,1,
,,,,,,,,,,,2018,"2 845,333",8 536,3,
,,,,,,,,,,,2019,"6 046,333",18 139,3,
,,,,,,,,,7,3,2017,"5 272,235",89 628,17,
,,,,,,,,,,,2018,6 402,89 628,14,
,,,,,,,,,,,2019,"7 392,786",103 499,14,
,,,,,,,,,8,3,2017,"4 725,286",66 154,14,
,,,,,,,,,,,2018,"5 975,2",59 752,10,
,,,,,,,,,,,2019,5 335,10 670,2,
,,,,,,,,,9,3,2017,"5 690,667",17 072,3,
,,,,,,,,,,,2018,5 335,10 670,2,
,,,,,,,,,,,2019,"6 224,167",37 345,6,
,,,,,,,,,,4,2017,,,,
,,,,,,,,,,,2018,"6 935,5",13 871,2,
,,,,,,,,,,,2019,"9 069,5",18 139,2,
,,,,,,,,,10,4,2017,4 268,51 216,12,
,,,,,,,,,,,2018,"5 097,889",45 881,9,
,,,,,,,,,,,2019,"4 941,895",93 896,19,
,,,,,,,,,11,4,2017,"5 975,2",29 876,5,
,,,,,,,,,,,2018,"5 601,75",89 628,16,
,,,,,,,,,,,2019,"4 801,5",48 015,10,
,,,,,,,,,12,1,2017,4 268,4 268,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"5 735,125",45 881,8,
,,,,,,,,,,,2018,"5 601,75",67 221,12,
,,,,,,,,,,,2019,6 402,6 402,1,
,25,home_construction,1441,10000,60,25,25,All Dates,1,1,2018,"6 304,375",50 435,8,
,,,,,,,,,,,2019,7 467,82 137,11,
,,,,,,,,,2,1,2018,"7 565,25",90 783,12,




,,,,,,,,,,,2019,"8 234,286",57 640,7,
,,,,,,,,,3,1,2018,"6 587,429",46 112,7,
,,,,,,,,,,,2019,"8 165,667",24 497,3,
,,,,,,,,,,2,2018,12 969,12 969,1,
,,,,,,,,,,,2019,10 087,20 174,2,
,,,,,,,,,4,2,2018,"7 565,25",60 522,8,
